用户ID,评论内容,会员级别,点赞数,回复数,得分,购买时间,手机型号
12759425938,喜欢它的淡蓝渐进色！用起来很流畅，电基本一天一充，如果不照相。要是照像的话电力也就坚持4、5个小时。拍照很 cool，前镜头自拍会自动变成portrait模式，不是很喜欢那种失真的人工智能，还是喜欢用一般照相模式。夜晚拍照模式很强大，暗光时night模式可以自动调亮，但需要稳定手持若干秒，成像效果显然有锐化处理。另外很喜欢近景拍照功能。总之拍照操作很方便。其它功能还在探索，基本上很满意。,金牌会员,10,4,5,13/05/2019 20:22,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12749549445,用了几天才来评价的，手机电量够用一天多，很耐用，充电确实很快，而且拍照效果非常好，把原本一般的树叶拍的更有生机，叶子发亮。手机拍照也是美美的，像素也不错，很清晰，总之就是很满意很喜欢！可以珠光白的抢光了，不然我也想买个白，?这个极光色也很好，背面可以拿来当镜子用了！非常清楚呢?,PLUS会员,13,1,5,11/05/2019 09:02,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12841232558,快递相当的快，昨天下午下单，今天上午不到11点就送到了，用了一下，下载东西很快，玩游戏也很快，临时有些东西还不太适应，很多功能还不会用。,注册会员,0,0,5,03/06/2019 20:54,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12779461187,我以前的手机内存太小了 总卡 这回想换个内存大点的 拿到新手机很开心 还怕很大 我拿着贵不方便 很精致 很瘦长 是我喜欢的款 手机后盖在阳光下的很漂亮 指纹也很灵敏 下载了很多应用 运行也很流畅 目前没有发现什么不好 哈哈哈 可能我的要求比较低吧 只要内存大就可以了行 。,金牌会员,4,3,5,19/05/2019 12:09,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12657343529,手机很时尚，天空之境颜色随光线而变很炫，照相功能模式很好用，画质很清晰，变焦5倍之后，随光线明暗有较大不同，白天还能接受，夜晚很糊，但相机同样有这个问题，不必失望。运行很快，128G以上应该是较好的选择。非常棒的一款手机，随机的壳也很好，不须另外再买。,PLUS会员,19,9,5,16/04/2019 21:43,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12708853013,"当天发货第二天就到了,惊艳的外观,流畅的系统,游戏也是非常可以的,应该可以满足日常应用,拍照也是非常不错的,十二分满意的手机显示效果:很自然的色彩,耐看运行速度：非常快
电池续航: P30的续航强大拍照效果：非常满意
⑥续航力强性能棒外观好看",金牌会员,42,8,5,30/04/2019 08:47,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12642840581,第二台华为手机，屏没有nove2s大，但是握手感很好。256内存，还是喜欢的颜色，真的非常开心。拍照的话最大是30倍，水滴刘海有点手不习惯。运行速度很好，吃鸡三小时，还晚很耐电。大家有兴趣买新手机，可以了解一下,PLUS会员,23,17,5,13/04/2019 00:22,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12850574745,整体手感很好！屏内指纹灵敏！黑色很显瘦哈哈～充电是快充，而且真的很快！下载了好多个app之后运行速度依然很快！真是太满意啦！,金牌会员,6,1,5,05/06/2019 20:37,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12671247905,到手已经体验了一周了，感觉非常好。天空之境，连颜色都起得这么意境。欧洲发布会后就看上了这个P30了，立马就下了定金，实体店也体验过Pro版，但最后还是选择P30，P30的尺寸更适合我，Pro有点大，而且个人感觉曲面屏不怎么好看。上海发布会后当天就给尾款，第二天就送过来了，这点相比小米9就好很多了，没有耍猴，实实在在的。我同事抢小米9抢了一个月都抢不到，实在很憋屈！980的处理器还不是盖的，各方面比起我的荣耀9青春版都好很多了，服役了500多天的荣耀9青春版可以歇歇，作为备用机了。拍照方面也没有啥研究的，很多东西还在研究，包括那9.1的系统。续航方面是一天一冲的，早上充满，晚上回到家，基本上都剩下50%左右，本人中度使用，不玩游戏，妥妥的。最满意的是超级快充，从50%到100% 充满电也就30多分钟，这个是我最满意的地方。反正就是非常满意！,PLUS会员,34,6,5,20/04/2019 15:33,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12871669169,"用了一天，手感很好，激光色没有期待中的漂亮，也许粉贝色会更好看&hellip;&hellip;
手机使用很流量，自带了不少软件，应该是可以卸载的，因为我卸载了好多，也重新安装了好几个&hellip;
目前流畅性没有问题，信号也不错，拍照我没有体验到发布说的那种炫酷体验，也许还需要在摸索摸索",PLUS会员,0,0,5,10/06/2019 22:22,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12772007239,第二天就收到了，发货很快，这个颜色很好看，很漂亮，操作也简单，内存运行什么的，都很快，很喜欢这个手机，强烈推荐,银牌会员,9,5,5,17/05/2019 10:45,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12864243617,"中华有为~国之荣耀~
P30的6.1英寸的全面屏，拿在手里刚刚好，不会有太大握不住，太小容易手滑的感觉！
系统升级到emui9.1没有了以往华为给人的商务刻板印象，拍照就不用说了同类别同价位绝对是最好的，续航也不错，整体表现出色。",PLUS会员,1,0,5,09/06/2019 11:20,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12761656093,昨天上午下单的，下午就送到了，天空之镜确实美，很喜欢，买了256G版本的，觉得价格贵了点，不过挺好的，之前用Mate10，现在换换口味，6.1寸的OLED屏幕挺好的，后置徕卡三摄，分别是4000万+1600万+800万像素，电池容量3650mAh，足够用一天了，支持华为22.5W超级快充，充电速度挺快的，采用了屏内指纹识别，不错嘛，我个人不喜欢曲面屏，所以P30挺好的。,PLUS会员,3,7,5,14/05/2019 13:26,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12755209879,非常满意的一个手机了，真的超级喜欢，拍照摄影真的很强大，尺寸对我来说刚刚好，拿在手里很舒服，手感很好，四千太值了,金牌会员,0,0,5,12/05/2019 18:39,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12797030434,看中她的颜值和苗条的身材，单手操作很方便，系统、触感、相机都很好，正在磨合中。10年果粉转华粉！,PLUS会员,18,4,5,23/05/2019 21:50,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12657921259,通话声音大，清晰，待机一天也没问题。照相白天不明显，晚上和P20PRO比了一下，感觉比P20PRO进光量大，照相更好，清晰。运行8G很流畅，显示效果也不错。,钻石会员,23,3,5,17/04/2019 06:59,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12737385231,运行速度很快，打开app不卡顿！拍照很好，特别是夜景！30倍变焦感觉用处不大，远了也不清楚，也就100你米左右，电池一天一冲，晚上充好一般刷刷头条，到晚上10点还有30%的电,PLUS会员,5,1,5,07/05/2019 22:01,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12640488094,p30真的很优秀！系统反应很流畅，人脸识别和指纹识别速度非常快！选了很久，决定这款机型，真的没有选错！颜色很漂亮，男女都适合！这个屏幕大小刚好，拿在手里很舒服，不会太宽，手感也很好，就是容易吃指纹。原厂还配送了透明壳，还有高清膜已贴好，真的很贴心！,金牌会员,37,16,5,12/04/2019 12:10,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12688875247,开箱全靠抖，麒麟980性能强悍，冲着30倍变焦麒麟980买的，截屏很有意思要用关节敲击2下才能截图，电池挺耐玩的，刺激战场最高配置两把下来才掉百分9的电，可不是落地成盒哦，还有一个特点超级充电速度特别快，总之一句话 中华有为！,PLUS会员,59,6,5,24/04/2019 23:23,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12647204001,有Google框架，拿到手搞了一下，把梯子和常用社交软件下下来了，开机自带不用的都卸掉了，运行很流畅，拍照可以自动调节模式，功能比一般的的确好很多，目前还没有发现拍照特别惊艳到的地方。其他方面最喜欢的是保留了耳机插口，可以扩展存储，64g真的妥妥的了。,注册会员,277,152,5,14/04/2019 10:37,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12812432327,这次一次买了2台，和老婆一人一台。收到后用了2天才来评价，自己一直喜欢用小屏机。这次华为p30的尺寸虽然也不算小，但已经算是小屏了。开机先试下照相，风景，人物，夜景都在照，出来的相片真的很惊艳，以前用过的手机无法比。比水果机的也好几倍，特别是夜照，AI镜头连闪光灯都不用，清晰度高，看得很清晰。电池-我不玩游戏，中度使用大半天，大约用50%，一天够用。支持国货?,PLUS会员,0,0,5,27/05/2019 23:57,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12722974027,给老公买的，他很满意，照相功能强大，同景色拍出来的照片比别人拍出来的效果好，比我苹果Xs拍的色泽还好，他太高兴了，上网速度也是杠杠滴～,PLUS会员,94,41,5,04/05/2019 10:40,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12862722907,早上买，晚上就收到了，京东速度果然快！！华为真是国货之光，天空之境的背盖颜色很好看。（新手机拍的所以入境的是旧手机?）徕卡镜头拍照棒棒的。系统运行也很流畅， 128G的存储平时拍拍照装几个常用APP够用了。,PLUS会员,0,1,5,08/06/2019 22:02,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12707647786,重量控制的恰到好处，除极特殊情况外成长素质与pro基本相当，虽然没有40w快充，但22.5w快充足够使用，特别是黑色这款，高贵有气质，反射出的黑色银光十分迷人，非常满意,PLUS会员,34,4,5,29/04/2019 19:53,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12665204492,用了几天来评价，操作流畅，画面舒适，空间大。拍照清晰，30倍放大，不过需要个三脚架，不然抖的很。手机轻便，适合单手操作，细长，拿起来舒适。天空之镜简直美炸,PLUS会员,19,4,5,18/04/2019 22:47,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12713621004,颜色很喜欢！预定的到货也很快。用到现在没有卡顿现象，电量续航时间也挺满意，有些手势也很方便，相机和系统略有不习惯，相机色彩有点艳丽，变焦啥的很棒！,PLUS会员,4,1,5,01/05/2019 14:39,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12723795970,"为了贝母色还是咬牙等了几天，很值得。女士用贝母色很漂亮。P30的照相功能的确惊艳，尤其是夜景和超长变焦秒杀一般单反。
其他功能还在开发中，总体感觉流畅，华为的系统使用也比较顺手。
赞一个。",PLUS会员,3,3,5,04/05/2019 14:11,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12736791752,总体不错，色彩艳丽，解锁一般，拍照很好，作为备用机超出我的期望，@战，必须支持国货，毕竟花大钱研发处理器这个意义重大,PLUS会员,14,4,5,07/05/2019 19:27,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12774546725,给妈妈买的手机超级好看啊！！镜面超级美，真的有极光的感觉，去贴膜时候服务人员也说这个手机很好，快递员送货来的时候也说很好！华为牛掰了！！再说功能吧，在之前的安卓系统上有了很大提升，不说别的就说删除应用吧，长按图标以后直接弹出来需要操作的选项非常方便，下载软件不再有捆绑软件下载，安装非常简单，省去多余步骤，最关键的就是拍照真的超级美啊啊啊啊啊啊啊啊啊！！！！自带美颜瘦脸皮肤颜色调整光线调整，还有夜景拍照超级清晰，我已经想把x换掉了&hellip;?,铜牌会员,2,2,5,17/05/2019 23:08,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12847574053,拍了月亮，果然非常吓人，还试着拍了对面山上的房子，我肉眼都看不到的东西都能拍的好清楚，效果太震撼了，感觉华为太厉害了，真的值得支持！,PLUS会员,5,7,5,05/06/2019 09:27,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12659965707,手机行业里的颜值担当。手机很省电，中度用户一天半到两天，昨天充的电今天已经是四点多了，还有百分之三十五的电量，就是包装的时候没有塑料泡沫封住直接装进纸盒里，难免有一些挤到手机盒，这点需要改进。这款手机的尺寸单手握持特别舒服，第1次买这么贵的手机，就是因为他的颜值被我吸引。之前用的小米，最后又换了锤子m1L用了两年多最后很多APP无响应卡顿闪退系统好几个月没有更新，导致无法正常使用！现在这款p30系统流畅，麒麟980加特前置三千两百万像素高清摄像头了，后置三射拍照一流。各种人性化细节化的设计，非常好用。是我迄今为止买的最好用的一款手机。平时照相不多，对我来说这款手机，各个方面性能超级够用。8+128GB妥妥的够用了！希望华为越做越好，给用户带来极致的体验。支持国产支持大华为！！！,银牌会员,65,4,5,17/04/2019 16:30,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12754110066,很不错的手机，用着原装的软膜，指纹解锁速度很快，系统流畅度上EMUI9.1果然名不虚传，后续的方舟编译更加可以期待，第一上手体验就是这样～,PLUS会员,3,2,5,12/05/2019 13:28,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12716098368,P30已经用了一周了，总体来说很满意，系统运行速度快，软件打开也很流畅，手感很好，电池正常使用能坚持一天，缺点是屏幕瘦长部分应用没有很好的适配分辨率。,PLUS会员,5,2,5,02/05/2019 10:42,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12789021464,手机买了差不多有一个月了，用起来很流畅，暂时没有卡顿现象，照相很清晰，翻网页很顺畅，进程序很快。,银牌会员,1,3,5,21/05/2019 20:24,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12789008160,好，轻薄小巧，没有手感，装上保护壳好了些。反应特快，刷刷的，华为真牛。正在学习中，弄明白再评。京东物流送货也牛，真快，信赖京东。,PLUS会员,15,3,5,21/05/2019 20:21,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12806769279,给儿子买的。第一时间下单P30，冲着相机和强大的功能，也冲着支持华为咱们的科技企业。据反映，使用非常顺手，相机没的说，app也都很流畅。比原来的荣耀10轻薄，好像自己带了保护膜。小男孩用着很合适。,PLUS会员,26,0,5,26/05/2019 16:01,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12855727401,"这也算是以一种方式支持华为了。
1.手机色彩真的很漂亮，运行速度很快。
2.比原来红米Note4稍窄一点，手拿着正好。
3.随机带了一个软质透明壳，不是很厚，但跟手机贴合很好，完全可以不用另买手机壳的。
4.最赞的是随机带了一副耳机。
5.试了相机，暗处拍摄非常清楚，比我用D3200单反套机拍的清晰的多。
6.音质比iPhone6Plus听着舒服。
7.贴膜没除掉，所以没有试指纹。
第一次买华为手机，很满意。",PLUS会员,1,0,5,07/06/2019 06:08,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12880562126,用了几天才来评价的，首先京东下单送货确实快，心急的人完全问题，哈哈，手机到手后手感没的说，屏幕清晰，反应速度确实快，背面颜色好看，女生都能接受，主要买来给媳妇用，上班需要两个卡，两个~，只能舍去苹果了，没办法，安卓的带应用分身，真的很方便，能实现的一个手机，两个电话两个~两个QQ，确实方便，照相可玩，整体不错，希望用个几年后不会卡就完美了，说实话不足的太多，首先这喇叭感觉很廉价，没听好，反正苹果转战过来确实需要适应，前期会被外观迷惑后期就感觉到顺手不顺手了,PLUS会员,3,1,5,12/06/2019 22:55,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12877819221,外观挺好的，照相功能很强大，非常清晰，3个摄像头，赠送了手机透明壳，很商务范！挺喜欢的。视频是手机拍出的效果，发货很快，第二天就收到了。,金牌会员,0,2,5,12/06/2019 11:59,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12817834535,支持华为，华为雄起！给媳妇买的华为p30，真的好用，媳妇喜欢拍照，华为手机的像素就是好，大小也正好适合女生用，系统也很流畅，不亚于苹果的系统。总之，这次购物体验很棒，华为手机，值得购买！华为，中华有为，支持华为，支持国货！！！,PLUS会员,8,2,5,29/05/2019 12:59,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12746014171,手机很好啊 体验流畅，果粉转花粉，体验感十足。快充很给力，天空之境大赞啊 配上磨砂套 堪比完美！摄像头nice，很不错 值得体验!屏幕显示 手机质感都perfect!!,金牌会员,4,1,5,10/05/2019 09:31,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12750363824,包装严密，手机很好用。用mate10习惯了，感觉p30好秀气。不过操作上还是很顺畅的。我的mate10用了一年半，系统不如之前好用，朋友推荐了p30。刚拿到，目前用着还不错,PLUS会员[试用],10,6,5,11/05/2019 12:29,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12858509576,一天就收到了，蛮好看的，这个色适合女生。音质也很好，比pg大声多了，整体还不错，支持华为。,银牌会员,1,1,5,07/06/2019 20:40,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12695509038,赤茶橘，口红颜色名称，我更喜欢叫她日落红，比想象中要橘色一点，红里面带着点金色，很好看，目前很难抢，今天比较幸运，竟然有货，真的很好看，比起天空之镜，赤茶橘更热情洋溢，很奔放，吹爆我赤茶橘,钻石会员,25,17,5,26/04/2019 18:15,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12662014339,很好的一部手机，功能强大呀，照相杠杠的，非常喜欢，够轻，全屏轻，用着顺手，上传的图片有点不好，同事的手机拍的不好。,PLUS会员,12,2,5,18/04/2019 09:13,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12754021659,手机非常流畅，非常好用，全屏窄边设计非常的爽，既可以单手操作，也可以敬请享受全屏的设计，这个非常的满意，是我自己想要的样子，而且物有所值，物流非常快，物美价廉，质量非常好，给予好评，一样你们再接再厉，给大家推出好的产品，也希望日后会有更多的优惠，惠及大家，期待你们的产品越来越好，更上一层楼，我会持续关注你们，有机会也把你们的产品推荐给我身边的人，产品做到最后其实是做服务，希望店家生意兴隆～哈哈哈,PLUS会员,8,2,5,12/05/2019 13:02,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12733235706,京东就是快，拿到机子迫不及待的打开，外观真是不错，手感也很好，开机一看色彩真是太炫了，相素真是牛，太清楚了，这个机子真是不错，很喜欢,PLUS会员,18,3,5,06/05/2019 21:01,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12887115897,买给老妈用的，外观很漂亮，系统运行速度什么的就不需要开机测试了，作为一个mate系列和p系列的华为老用户，心里还是很有数的，绝对刚刚的，放一百个心！,PLUS会员,0,1,5,14/06/2019 15:09,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12720103742,手机很小巧，屏幕却能有6.1寸，适合手小的朋友购买。系统安卓9，相比之前系统提升很大，拍照据说厉害，咱缺的是摄影师的手和眼睛，相机再好也拍不出惊艳的照片，中框偏哑光的设计，我更希望手机是高光设计，和玻璃更有一体感,PLUS会员,6,0,5,03/05/2019 13:37,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12710021478,老婆很满意！做工精细  屏幕颜色舒服！华为的操作系统非常流畅！最棒的就是拍摄了！拍出来的照片让人惊艳！感觉已经和一般的单反拍摄效果差不多了！国货自强！华为很赞！！！,PLUS会员,9,4,5,30/04/2019 13:39,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12770893969,没买到我喜欢的颜色，这个颜色也很惊艳，尤其小孩特别喜欢，用起来的体验很棒，希望周末给娃娃拍出好看的照片。,钻石会员,1,0,5,16/05/2019 22:37,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12730979198,超清拍照，超级变焦，超级快充，靓美外形， 华为P30拍照好，颜值高，充电快，价钱也好，美不胜收。,金牌会员,10,2,5,06/05/2019 11:25,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
12748929976,手机已经使用20来天了，没发现什么问题。手机非常漂亮，女孩子用大小很合适，拍照非常清晰，拍夜景功能也真心好，光线不好也能拍的很清晰，电池中度使用一天没压力。玩吃鸡游戏也非常流畅不卡顿，总体来说P30还是一款非常好的手机，值得购买！,PLUS会员,9,3,5,10/05/2019 22:49,华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+128GB天空之境全网通双4G手机
